id,name,salary,birthdate,hiredSince,FK_company,FK_pensionFUnd
84,Waiter Boog,38420.75,1982-08-27,2007,150,48
85,Shaun Petracchi,19341.23,1985-09-10,2007,431,10
86,Darya Eames,47661.64,2001-04-05,1985,289,11
87,Alexei Crother,11968.73,1985-04-10,2021,350,40
88,Genevra Jeroch,43133.1,2002-04-25,2012,50,39
89,Doyle Swancock,43728.21,1964-11-03,1993,139,40
90,Jedidiah Blackler,39801.06,1994-07-19,1989,362,26
91,Annabal Deveril,27603.7,1964-02-11,1986,305,48
92,Roby Spofforth,32913.39,1978-12-04,1984,308,20
93,Denise Antonat,45553.13,1998-08-11,2013,253,49
94,Matias Garbert,23614.17,1970-02-15,2005,468,60
95,Madge Tobias,34822.05,1974-05-04,2009,273,22
96,Ingrid Leggen,33793.86,1999-07-22,1993,113,31
97,Silas Plain,26895.45,1961-02-26,1997,114,52
98,Dick Tune,42984.93,1995-10-20,2018,286,9
99,Don Poluzzi,45390.02,1992-12-02,2007,275,8
100,Levon MacFadzean,12742.34,1969-01-01,1984,490,27
101,Gene Dorot,35146.67,1984-01-24,2013,144,8
102,Christoffer Fawson,36061.95,1961-04-13,1980,236,56
103,Arielle Hawley,39352.76,2014-03-29,1983,333,12
104,Maris Crosoer,31762.43,2011-11-11,1980,57,54
105,Luise Iglesias,34809.87,2002-06-12,1975,484,28
106,Nickey Duferie,36480.95,1996-01-06,1997,145,66
107,Justinn Parnall,25949.07,2003-06-13,2002,345,10
108,Saunder Ianetti,12425.19,2012-09-14,1989,242,27
109,Beauregard Heskin,23086.5,1993-08-21,1990,470,20
110,Leonardo Roseblade,12559.26,1967-02-12,1977,484,68
111,Maryanne Plevey,42000.42,1998-05-02,2009,158,42
112,Birk End,16866.41,1973-12-20,2014,407,52
113,Isabeau O'Cuddie,14162.16,1991-04-03,2002,117,61
114,Olive Guppey,38486.11,1985-06-19,2004,412,39
115,Garreth McCoy,20752.36,1980-12-06,1976,82,66
116,Ketti Stogill,34564.82,1983-03-26,1985,453,71
117,Ferne Bradnocke,10156.03,1980-01-20,2013,384,24
118,Massimo Bentham3,11870.05,2007-09-07,1992,57,33
119,Eveline McArt,12869.97,1997-04-17,1983,95,24
120,Nerti Crose,29376.5,1961-05-26,2008,20,33
121,Evita Marcum,16815.12,1963-03-28,1990,136,10
122,Emyle Somerfield,48092.07,2011-04-11,2010,298,68
123,Cathlene Perry,45251.65,1972-03-05,1996,500,3
124,Alvina Trench,48999.47,1988-01-22,1996,427,14
125,Haslett Hurrion,13462.0,2007-03-12,1989,491,52
126,Merell Gee,21073.88,1987-03-22,1985,410,30
127,Nikolaus McCuffie,24906.35,1991-05-10,1993,431,30
128,Amelia Ferie,32588.3,1983-02-04,1993,23,13
129,Gizela Holligan,30684.14,1962-12-18,1986,412,72
130,Gianni Clinning,19273.2,1974-07-16,1988,469,37
131,Ansley Renney,34789.75,1961-02-22,2011,142,49
132,Orelia Hobbing,25980.54,1964-04-08,2014,243,6
133,Reuven Wilce,13160.37,1994-03-28,2011,273,69
134,Rea Smartman,24095.89,2000-05-05,1993,465,21
135,Gilligan Murrish,13517.68,1962-09-25,1987,134,46
136,Burnard Maun,14894.89,1968-10-24,2002,217,44
137,Gunther Kernaghan,20322.28,1968-08-10,2017,104,15
138,Kahlil Bunstone,43801.09,1996-07-26,1975,44,15
139,Myrna Habbershon,40652.68,2009-07-04,1982,330,15
140,Dennie Sauniere,13625.32,1961-11-16,1984,450,56
141,Tiphanie Franciskiewicz,34525.73,1991-12-14,1989,88,49
142,Zitella Folker,49148.49,1966-03-09,1991,422,12
143,Reagan Amiable,47206.73,2005-12-14,1992,110,35
144,Coreen Colliford,14821.73,1971-01-27,2017,365,72
145,Andres Petford,28989.73,2001-07-15,1978,231,59
146,Brendan Newbigging,31319.94,1992-01-04,1989,149,26
147,Marysa Bodd,25779.47,2004-03-28,2010,489,1
148,Vernon Graveson,29469.73,1976-10-08,1976,401,52
149,Bret Bysouth,14254.02,1972-12-30,1990,191,34
150,Donna Siviour,26952.5,1984-01-06,1985,462,60
151,Pat Camilli,30628.44,2002-02-14,2018,331,13
152,Harrison Brigham,43871.21,1964-10-16,1997,41,44
153,Kristy Tatlow,35001.77,1970-07-07,1996,326,34
154,Hersh Yakubovich,39322.06,1979-05-01,2014,143,28
155,Stacee Rowaszkiewicz,47556.96,1997-03-05,1999,262,22
156,Suzann Gerrets,36824.99,2012-03-25,2006,377,21
157,Teddi Utting,33114.04,1972-06-01,1998,43,39
158,Mariele Einchcombe,20233.66,1994-10-27,1991,441,11
159,Inigo Groven,26033.74,1969-10-15,1996,214,46
160,Gladys Knowlson,12720.03,1960-01-11,2015,440,66
161,Krissy Tooher,43223.47,1968-04-05,1976,88,70
162,Gail Mockett,22328.01,1977-06-27,1999,466,72
163,Lawton Normington,26652.61,1996-08-17,2013,106,20
164,Moss Dudin,47175.03,1990-12-21,2021,97,55
165,Bert O' Dooley,18538.92,2012-06-19,2012,241,46
166,Conrad Mingo,36822.72,1960-09-13,1992,73,29
167,Randie Roller,44786.06,1984-05-28,1991,446,41
168,Rodi Ferres,43863.76,1975-12-09,2014,457,26
169,Hastie Jeaffreson,40262.66,1966-03-15,1994,484,42
170,Ulrica Rubenczyk,42874.26,2006-07-12,2014,61,64
171,Devora Crasford,41660.1,2011-10-26,2000,180,30
172,Debor Kelling,43350.13,1971-11-26,2018,140,36
173,Lil Bartosik,45453.82,1966-01-07,1997,302,9
174,Alonso Coltherd,34863.92,1989-08-03,2008,264,39
175,Gerrard Roscrigg,42630.54,1970-10-02,2015,255,48
176,Ofilia Courtney,43759.2,1993-04-06,1999,278,68
177,Jaquelin Padrick,32974.12,2008-06-04,1975,499,52
178,Gavan Rapper,22133.21,2007-07-11,2009,321,10
179,Marietta Mosdell,15384.77,2005-06-02,1997,242,25
180,Sheri Shefton,21644.0,2004-04-15,1987,113,51
181,Lydon Banthorpe,23385.26,1975-12-25,1995,82,70
182,Garrott McIlwreath,27983.0,1986-04-30,1991,178,10
183,Willdon Tredwell,24455.41,1984-03-23,2008,157,71
184,Glen Normanvill,20185.48,1985-02-17,2016,476,68
185,Benny Farres,17069.27,1988-02-17,1984,50,43
186,Bobby Middis,37126.7,2013-09-20,1977,133,5
187,Cecile Lough,38936.69,1964-12-14,2001,91,47
188,Kyle Bonnet,49128.24,1985-12-25,2015,210,60
189,Rosa Purle,28489.45,2005-06-14,2014,7,70
190,Adolf Duddin,26552.26,1987-02-16,2002,384,7
191,Janeen Santo,36152.51,1961-04-30,1978,210,4
192,Quinn O'Moylane,48603.06,2007-10-24,2000,422,36
193,Gerhard Ashfold,10351.38,1963-11-03,1995,162,21
194,Seymour Oldknow,46770.44,2010-10-22,2017,234,71
195,Diego Kermitt,30005.72,1974-07-01,1991,401,64
196,Cayla Daintry,11494.42,1990-06-16,2015,341,20
197,Tate Londors,43890.36,1973-11-04,2002,356,4
198,Gradey Lamas,16442.31,1994-01-23,1993,67,42
199,Baxy Duckitt,23561.01,1973-09-13,2001,89,73
200,Zacherie Sewell,25169.48,1986-08-24,1978,469,63
201,Vivyanne Priden,32108.78,1996-07-06,2003,447,21
202,Pier Georgeot,17624.45,2014-03-22,1998,9,14
203,Ev Doodson,33683.44,1997-03-11,2019,285,4
204,Lauren Woollcott,17879.58,1980-05-21,1983,283,36
205,Eleanore Cullagh,16756.23,1960-10-08,2001,380,5
206,Brendin Duplain,34769.43,1994-09-03,2009,189,67
207,Giulio Leyfield,27990.1,1982-01-13,1999,155,24
208,Hulda Falla,41436.17,2001-02-24,1978,383,54
209,Samara Kristoffersson,38869.92,1967-01-07,2001,60,44
210,Devonne Verbeke,39363.65,1961-09-05,1978,285,47
211,Meridith Tarry,19651.62,2012-09-07,2015,494,32
212,Edin Winchcombe,19613.8,2002-05-21,1992,233,70
213,Joanie Branch,21630.68,1966-08-19,2020,84,19
214,Northrop Lightbown,29434.99,1999-01-19,2008,478,3
215,Seline Dallin,45603.95,2014-06-30,2020,277,71
216,Allyn Polkinhorn,28651.19,1971-12-28,2004,320,45
217,Vaughn Cossor,28987.49,1991-08-20,2005,297,7
218,Ophelie Lackington,18973.68,1987-07-27,1981,71,56
219,Galvin Lehrmann,28649.37,1961-08-02,2005,323,65
220,Cinderella Tucknutt,30127.81,1998-10-03,1988,450,43
221,Jourdain Cobelli,11673.94,2001-03-20,1982,17,58
222,Lodovico Dredge,38142.82,2012-04-28,1992,244,3
223,Camille Shird,40559.12,1991-01-27,2020,402,54
224,Ekaterina Brakespear,38918.53,1998-08-30,1987,17,30
225,Sydel Caple,36207.58,1969-09-15,2005,110,6
226,Adrianne Tomasello,30616.98,1973-08-30,1980,91,62
227,Linn Van Der Walt,32331.22,1963-11-27,1979,70,41
228,Urson Beinisch,31319.59,1970-08-14,2005,303,7
229,Sherwood Yoskowitz,25759.36,1961-08-11,1977,131,9
230,Belva Varah,47368.02,1988-06-18,2006,195,75
231,Elsinore Ripping,19031.7,2000-05-18,2014,407,51
232,Ricki Joyes,38443.22,1960-06-20,1987,132,45
233,Sue Schermick,38162.44,1964-10-12,1988,126,27
234,Susie Bouette,39841.72,1996-09-19,2016,89,33
235,Gregg Bax,15108.9,1982-05-12,1996,406,15
236,Waylin Kenyam,24715.17,2001-12-28,1975,56,64
237,Mindy Squires,33671.38,1970-11-17,2019,470,2
238,Gran Barnwill,16830.6,1971-05-27,2020,351,40
239,Dannye Janatka,34128.64,2014-01-05,1981,57,51
240,Morris Langstaff,35040.13,1970-07-18,1998,315,34
241,Denni Peaden,38663.0,1962-03-27,2015,288,6
242,Barnie Capelle,34013.67,1960-08-24,1983,192,43
243,Steve Oliphard,31266.81,1964-07-15,2004,125,21
244,Barbra Chatto,25878.26,2008-08-02,2013,409,41
245,Cahra Trendle,43246.52,2001-03-24,1976,269,40
246,Elora Guidini,34127.33,1984-11-17,1994,341,11
247,Feliza Mallinar,15045.51,1994-03-11,2013,497,47
248,Nerty Kuhl,23125.33,1994-01-13,1999,94,54
249,Jim MacAlinden,44321.92,1978-11-21,2007,454,48
250,Muhammad O'Dogherty,24486.6,2010-09-13,1988,171,18
251,Celinka MacGown,40845.81,2009-03-12,2000,144,52
252,Meghann Cleiment,20823.89,1980-10-05,1999,165,61
253,Ollie Meaking,32173.5,1991-10-16,2014,281,71
254,Leonardo Tosney,42162.55,1994-06-12,2021,458,16
255,Leonerd McDowell,23415.26,1976-02-24,2003,457,14
256,Imojean Amiranda,47813.04,1967-06-10,2010,337,17
257,Donia Mosen,38420.5,1985-06-21,1979,80,57
258,Tiffanie Kibbye,21654.12,1974-07-18,1977,383,40
259,Lizabeth Kilty,42388.5,2000-06-11,1990,333,70
260,Jacky Kirby,29426.62,1989-06-15,2016,321,36
261,Mirabelle Moohan,24946.21,1992-09-27,1988,99,4
262,Ingemar De Caville,23719.27,2012-04-15,2021,173,58
263,Korney Edinborough,43708.68,1991-05-10,1985,402,42
264,Yevette Josephov,28055.72,1962-07-10,1976,363,54
265,Vivian Easlea,28262.54,1994-11-08,1996,305,8
266,Boothe Mourbey,40015.73,1967-01-23,2018,233,38
267,Shirl Cucinotta,37421.13,2009-04-02,1988,382,43
268,Harman Knowlys,16875.56,1988-09-06,1995,49,58
269,Oriana Larking,32351.09,1993-09-23,1984,305,9
270,Carolyne Ugoletti,25122.33,1985-02-14,2004,375,62
271,Dulce Pursey,41244.63,2001-08-20,1987,200,71
272,Currey Annand,45688.77,1980-08-10,1984,105,15
273,Irina Ouslem,17601.11,2011-09-03,1975,97,48
274,Cally Jolliman,34185.0,2006-10-29,1976,439,71
275,Denna Lindup,46946.62,1994-09-04,1977,276,22
276,Carina Sattin,22273.29,1963-03-11,1975,66,39
277,Keene Yakovlev,32292.63,1967-03-31,2007,125,32
278,Charlot Mummery,38993.52,1974-10-07,2014,250,15
279,Andriette McKibbin,12280.36,2002-06-21,1988,169,56
280,Heinrik Maddern,26542.96,1980-04-16,1989,31,75
281,Wenona Verlinden,43399.44,1981-03-27,2009,451,1
282,Ryun Luis,38118.84,1968-03-26,2004,261,30
283,Min Ronaldson,10333.94,1988-06-28,2008,216,8
284,Thomasina Gosz,41342.39,1988-08-29,1986,377,11
285,Donnell Stewart,34618.66,1997-03-03,2015,460,3
286,Alf Tunnoch,48220.57,1962-05-04,2005,29,64
287,Auguste Matczak,44680.78,1963-09-11,2003,298,73
288,Janenna Tatton,38359.78,1977-02-17,2007,297,73
289,Tamqrah Moresby,35449.06,1991-05-02,2010,163,47
290,Janessa Grunguer,47626.87,1980-10-08,1976,130,58
291,Laurens Tomaello,41382.2,1980-05-16,2015,26,34
292,Dallis Grief,15929.31,2004-11-27,2003,106,8
293,Ric Rediers,44153.47,1977-05-12,2011,215,8
294,Adara Resdale,41821.65,1975-05-25,2003,315,38
295,Jordan Milburn,10702.09,1984-03-27,1979,488,28
296,Davita Heminsley,36240.1,1992-11-08,2013,220,3
297,Jennee Novotna,13611.9,2012-08-08,1983,263,68
298,Louisa Winham,25901.32,1962-03-18,2011,458,33
299,Lynn Mc Kellen,31976.92,1976-02-01,2004,174,21
300,Petronilla Fairman,32227.78,1987-08-04,2002,125,73
301,Sylvia Moyce,16632.56,1982-08-31,1976,98,27
302,Rachael Paffot,12564.69,2003-05-28,2006,367,33
303,Julia Cavill,47798.83,2012-04-02,1979,78,68
304,Shelden Coule,22902.02,1977-06-07,1991,233,64
305,Sean Hakonsson,27951.86,1990-07-10,1986,241,41
306,Joelle Antalffy,36751.31,1984-09-07,1993,199,8
307,Thornton Jakeman,48670.98,1960-12-18,2008,241,25
308,Zulema Batts,26370.7,1992-12-31,1988,349,49
309,Toddie Allner,18401.48,1961-04-07,1998,245,63
310,Harlen Andreev,29067.87,1982-06-11,1975,399,11
311,Neron Dumberrill,18758.17,1978-03-11,1980,473,33
312,Harald Rizzetti,21394.73,1991-12-19,1987,436,2
313,Jeth Vardey,30340.66,1985-03-23,2001,378,41
314,Gabriello Eynald,13233.82,1984-02-19,1983,489,74
315,Kacie Amar,33884.98,2001-07-08,2020,66,39
316,Carlos Grass,21574.12,1966-05-13,2016,464,62
317,Tiphanie Ludvigsen,38990.8,1985-06-13,1994,31,66
318,Federica Perrott,15438.94,2010-02-27,2019,280,67
319,Glynn Friday,24682.76,2001-03-05,2018,13,47
320,Dalt Wigsell,15252.38,1995-03-28,2012,303,16
321,Vail Chafney,44445.94,1980-11-28,1979,345,32
322,Larina Dewdeny,10403.32,1968-05-14,2019,497,13
323,Junie Bugdale,29833.7,2011-12-02,2011,400,32
324,Johannes Laxon,32998.88,1964-05-05,2001,167,27
325,Bartlet Colvine,33537.63,2001-07-17,2019,87,7
326,Carly Rolse,31910.75,1984-01-18,2017,448,59
327,Harriett Penhale,25649.16,1963-02-21,1988,332,30
328,Karoly Belliss,49447.12,1986-03-04,1993,299,5
329,Marie-ann Cartledge,22774.17,1999-09-23,2008,327,9
330,Ludovico Ghidelli,26009.67,1962-02-09,1985,4,4
331,Jerrome MacDowal,29271.89,1982-11-08,1988,407,41
332,Andrea Kundert,40669.18,1971-05-28,1981,405,2
333,Grover Jentet,24288.92,1993-08-10,2018,164,4
334,Dara Kraft,15315.49,1962-11-28,2004,301,39
335,Minetta Goch,39660.24,2007-05-12,1986,213,47
336,Roseann Ayre,11963.15,1996-02-24,1978,202,14
337,Ambur Klampk,11356.63,1983-03-05,1983,98,40
338,Paulie Boatswain,32971.88,1966-08-27,1992,492,40
339,Whittaker Pietrzyk,10394.86,1965-05-09,2020,104,51
340,Rhianon Lude,16153.36,2006-03-05,1980,172,9
341,Lucius Lindenstrauss,27038.22,2012-02-27,1999,43,66
342,Von Thorwarth,44630.31,1977-03-22,1980,57,23
343,Ara Leitche,29469.63,1992-09-07,1986,428,38
344,Barnebas Broodes,13222.98,1982-05-01,1979,319,49
345,Elyn Wardel,12427.07,2008-01-25,1975,397,27
346,Liam Teager,44355.34,1969-09-19,1996,373,26
347,Lucille Silkstone,10705.27,1986-08-23,1991,432,25
348,Ester Judkin,13645.19,1969-10-04,1998,435,63
349,Rivy Kelley,28494.62,2005-08-01,2020,40,33
350,Fedora Hamprecht,10653.91,1975-01-08,1984,3,57
351,Pooh Rawling,43693.02,1982-06-25,1993,167,46
352,Brooks Ketchell,15279.89,1992-11-21,1987,39,59
353,Jenny Fleay,19119.68,2012-10-14,1982,404,49
354,Brandice Levinge,34346.71,1974-08-13,1999,402,32
355,Gothart Mouan,38127.85,1966-01-01,2003,323,62
356,Modestine Switsur,36656.7,1974-05-18,1977,320,46
357,Felecia Thompkins,13225.58,2008-06-18,1977,442,14
358,Alys Coughtrey,47522.66,2001-05-12,1981,78,44
359,Brittani Timmis,14732.72,1979-03-08,1997,206,39
360,Billi Blei,15949.32,1994-08-09,2016,48,40
361,Niki Dawber,27182.43,1981-06-09,1976,464,59
362,Corene Ebbett,35850.74,1991-09-16,2016,172,24
363,Axel Antuk,11088.25,1971-01-31,2001,143,4
364,Cammy Callis,36893.43,2008-06-24,2009,265,25
365,Thomasa Sandford,27125.21,1966-05-27,2015,155,16
366,Scotty Glowinski,13056.75,2007-09-13,1981,229,71
367,Chick Thorns,41341.0,1988-02-17,1986,500,15
368,Arabelle Brownfield,40615.22,1970-04-06,1996,401,2
369,Amye Samsworth,39471.13,1991-08-18,2010,385,75
370,Grannie Goldsack,39474.14,1969-10-30,2006,496,8
371,Stearn Linklet,21543.09,1965-09-06,1987,211,23
372,Lonee Standish-Brooks,28462.93,1988-06-16,2013,82,59
373,Donetta Vern,19941.27,1983-10-27,1999,10,52
374,Karlik Berzon,28484.51,1997-01-26,2004,466,8
375,Bernita De Francesco,36492.29,2007-05-29,1986,345,24
376,Pammy Wenzel,23750.4,1985-09-30,1981,407,37
377,Collen Borton,28514.37,1994-10-13,2017,462,28
378,Somerset Metzing,13933.06,1993-10-29,1986,145,10
379,Gallard Colkett,11751.64,1964-04-02,2004,298,45
380,Annabel Shepperd,20297.39,2005-09-24,1981,336,23
381,Bridgette Orwin,39865.71,1979-02-23,1997,399,17
382,Lamond Entreis,30280.91,1986-08-09,1987,347,44
383,Luelle Hubbucke,28953.53,1999-06-27,2000,386,36
384,Verile Sodeau,22885.57,1968-04-06,1984,435,65
385,Alaster Le Borgne,18564.03,1998-03-30,2000,397,67
386,Abigael Thackeray,40777.34,1960-04-06,1988,28,14
387,Vivia Pountney,23654.91,1976-02-06,1977,392,42
388,Lenette Faiers,43581.39,2001-08-17,1989,319,39
389,Leonerd Lydford,47803.78,1960-02-25,2007,138,16
390,Templeton Divina,29933.76,1992-01-02,1975,150,72
391,Siobhan Boycott,33288.72,2011-12-01,2010,273,29
392,Orville Butlin,11901.99,1974-09-22,2012,205,11
393,Katuscha Rivaland,43877.38,1983-06-14,2021,88,51
394,Nikkie Chesser,17239.29,1976-09-12,2014,254,29
395,Adolph Dagnall,29122.56,1991-09-05,2004,421,47
396,Britta Biever,30916.88,1977-11-12,1983,84,74
397,Cynthy Spincks,26839.11,1971-07-14,2014,492,73
398,Albrecht Wraxall,33626.73,1997-07-28,2004,432,54
399,Carola Dealey,17773.5,2000-12-01,2000,44,48
400,Delaney O'Hogertie,24384.19,1961-05-24,1991,188,12
401,Winne Luxen,11062.12,1991-10-27,2016,442,48
402,Oralie Donner,26685.53,1984-05-17,2001,266,25
403,Dalt Jobbing,40053.85,1962-12-01,1997,203,67
404,Kelvin Shackesby,33022.56,1973-09-04,2002,45,35
405,Frazier Rumgay,38073.06,2004-07-16,1981,206,11
406,Edward Timperley,17773.28,2012-06-19,1991,254,18
407,Janeva Libero,11925.63,1992-02-04,1991,275,54
408,Lodovico Bowness,22678.91,1974-04-08,2010,500,58
409,Merrill Varker,29023.75,1980-03-12,1976,43,37
410,Joletta Gonneau,40709.07,1960-04-28,2001,256,61
411,Clerkclaude McCulloch,33854.53,1987-11-27,1995,196,17
412,Greg Thickins,22106.11,1977-04-01,1982,225,59
413,Meagan Glazzard,23601.36,1993-12-05,2006,14,72
414,Annabel Nuttall,40805.62,1962-07-10,2010,258,75
415,Moll Danelutti,22237.23,1961-01-22,1978,265,3
416,Hendrika Fleckno,40542.86,1970-05-24,1994,60,59
417,Rosita Pear,39453.04,1960-12-19,1988,380,11
418,Austen Kellen,24373.99,1970-09-05,2020,109,18
419,Ethelyn Thrush,15892.76,2000-02-13,1978,363,31
420,Ronalda McCuis,23719.39,2009-05-09,2007,79,8
421,Goran Leversha,44780.05,1983-10-21,2009,493,69
422,Sigfried Hallwood,19632.1,1972-10-23,2020,234,70
423,Ferdinanda Fendt,14216.46,2008-10-25,1984,171,57
424,Christophe Goldspink,21882.69,1964-12-31,2004,40,22
425,Humfried Leming,48434.6,1967-03-25,2016,418,47
426,Rob Farrey,18250.07,2010-04-05,1980,331,18
427,Dottie Odams,13959.63,1996-07-13,1984,253,38
428,Celina Hogsden,32972.68,1988-05-02,2017,247,41
429,Mufinella Keys,29131.14,1960-06-06,1977,96,75
430,Joe Toll,47302.18,1996-03-04,1979,263,14
431,Rhodie Hasloch,35682.67,1996-11-15,1995,96,20
432,Natalina Gimson,17424.06,1971-07-05,1985,186,63
433,Sarah Grebert,19400.37,1983-11-14,1999,153,18
434,Maisey Robshaw,42303.75,2008-02-06,2001,354,18
435,Stefania Maciejewski,44219.53,2013-04-30,1992,217,74
436,Steven Zaple,12998.01,2009-06-19,2013,39,14
437,Winona Ratnage,43679.64,2011-04-19,1988,56,73
438,Richmound Craydon,42333.21,1979-09-18,1997,345,37
439,Berti Brisco,47933.82,1990-11-02,1981,58,4
440,Mirelle Sodo,35591.15,1965-04-14,1990,435,41
441,Nanci Bice,31160.88,1968-08-16,2021,128,55
442,Fania Payze,24439.31,1973-09-07,2000,64,3
443,Rhys Jura,15324.63,2002-05-20,1989,215,25
444,Pennie Aujouanet,48760.73,1969-06-29,2012,315,54
445,Melloney Sloyan,44319.72,1992-02-14,2003,45,8
446,Nate Millimoe,41541.2,1979-03-26,1989,338,56
447,Brana End,23432.32,2008-10-19,1975,472,50
448,Nesta Bellerby,27731.59,2011-08-20,2000,183,23
449,Leroi Laugherane,27689.87,2006-05-27,1997,451,29
450,Dedie Hyndson,47856.96,1982-05-27,1992,186,15
451,Silvain Loxley,41420.87,1990-10-16,1991,468,56
452,Georgie Matz,32284.52,1973-02-18,1983,234,10
453,Melinde McGaughey,45348.59,1994-07-03,2015,254,51
454,Pryce De la Feld,20405.13,2005-05-16,2021,187,8
455,Marget Pegrum,15298.63,1979-09-06,1989,379,38
456,Nelli Tirkin,37906.19,2011-11-20,1985,228,9
457,Gayler Talmadge,27301.2,1963-11-12,2011,253,47
458,Lem Line,11526.03,1995-10-04,1983,288,75
459,Noel Abele,33703.17,1964-03-15,1992,251,51
